시도교육청,학교급코드,고등부1학년 전입학생수,고등부1학년 전출학생수,고등부1학년 전체학생수,고등부2학년 전입학생수,고등부2학년 전출학생수,고등부2학년 전체학생수,고등부3학년 전입학생수,고등부3학년 전출학생수,고등부3학년 전체학생수,전입학생수(계),전출학생수(계),전체학생수(계)
강원특별자치도교육청,541,394.0,497.0,19586.0,222.0,214.0,18901.0,29.0,38.0,18826.0,645.0,749.0,57313.0
경기도교육청,1859,3975.0,3549.0,156285.0,2099.0,1926.0,152501.0,210.0,215.0,153243.0,6284.0,5690.0,462029.0
경상남도교육청,782,769.0,766.0,42398.0,301.0,312.0,42523.0,51.0,49.0,42837.0,1121.0,1127.0,127758.0
경상북도교육청,796,520.0,558.0,32125.0,161.0,294.0,31547.0,36.0,40.0,31412.0,717.0,892.0,95084.0
광주광역시교육청,290,377.0,436.0,23048.0,146.0,151.0,22279.0,23.0,31.0,22695.0,546.0,618.0,68022.0
대구광역시교육청,387,635.0,691.0,34093.0,203.0,172.0,34083.0,16.0,20.0,35480.0,854.0,883.0,103656.0
대전광역시교육청,270,577.0,674.0,21189.0,290.0,358.0,21035.0,26.0,22.0,21105.0,893.0,1054.0,63329.0
부산광역시교육청,594,1116.0,1191.0,39783.0,379.0,432.0,40659.0,38.0,36.0,41926.0,1533.0,1659.0,122368.0
서울특별시교육청,1327,4168.0,4336.0,111226.0,1696.0,1711.0,111126.0,189.0,189.0,114393.0,6053.0,6236.0,336745.0
세종특별자치시교육청,32,56.0,23.0,1223.0,17.0,10.0,1181.0,1.0,2.0,1124.0,74.0,35.0,3528.0
울산광역시교육청,231,237.0,234.0,16553.0,84.0,91.0,16454.0,11.0,15.0,16856.0,332.0,340.0,49863.0
인천광역시교육청,510,759.0,831.0,35458.0,286.0,318.0,34692.0,38.0,35.0,35809.0,1083.0,1184.0,105959.0
전라남도교육청,614,600.0,630.0,24181.0,314.0,277.0,23738.0,26.0,34.0,23697.0,940.0,941.0,71616.0
전북특별자치도교육청,550,490.0,418.0,25041.0,218.0,200.0,24954.0,23.0,21.0,24747.0,731.0,639.0,74742.0
제주특별자치도교육청,131,246.0,248.0,8245.0,140.0,137.0,7966.0,11.0,10.0,7989.0,397.0,395.0,24200.0
충청남도교육청,486,468.0,523.0,26065.0,223.0,234.0,25390.0,27.0,30.0,25100.0,718.0,787.0,76555.0
충청북도교육청,358,357.0,374.0,20202.0,144.0,149.0,19695.0,11.0,16.0,19639.0,512.0,539.0,59536.0
